Category Level 1,Category Level 2,Category Level 3,Category Level 4,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Cameras & Photography,Camera & Photo Accessories,Other,,BBTXZJFQH8AIG,DJI RONAN M,1,£270.00,£150.00,£20.00,£250.00,£100.00,40.00%
Cameras & Photography,Camera & Photo Accessories,Other,,BBTXLJDOVSZYI,"Panasonic camera, charger, lens",1,£189.99,£100.00,£15.00,£174.99,£74.99,42.85%
Cameras & Photography,Camera & Photo Accessories,Other,,BBTXM9G1YV8JD,Polaroind Mint Pocket Cam/Printer,1,£49.99,£25.00,£4.16,£45.82,£20.83,45.44%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGZ5S4LFUJW,Xperia phone,1,£79.99,£30.00,£8.33,£71.66,£41.66,58.13%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWG52NMZ33PZ,DOF DR-2 Camera Stabilizer,1,£29.99,£20.00,£1.66,£28.32,£8.32,29.39%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGXJJTOT6EQ,sigma APO 300mm F2.8 EXDG,1,£599.99,£250.00,£58.33,£541.66,£291.66,53.85%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGX9KPLOMTW,nikon,1,£499.99,£250.00,£41.66,£458.33,£208.33,45.45%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGPMRYRGNMP,Olympus Zuiko Digital 14-42mm f,1,£25.00,£12.00,£2.17,£22.83,£10.83,47.45%
Cameras & Photography,Camera & Photo Accessories,Sony,,BBWGBD2868EA5,Chauvet DJ 4x,1,£189.99,£70.00,£20.00,£169.99,£99.99,58.82%
Cameras & Photography,Camera & Photo Accessories,Sony,,BBWGE83PTL9MX,Sony dsc-qx10 lens,1,£79.99,£35.00,£7.50,£72.49,£37.49,51.72%
Cameras & Photography,Camera & Photo Accessories,Sony,,BBTX1A14CC734,Viltrox 23mm F1.4 XF Auto Focus (Sony),1,£79.99,£70.00,£1.66,£78.32,£8.32,10.63%
Cameras & Photography,Camera & Photo Accessories,Sony,,BBWGMGH8WPIVK,Sony DSC-HX100V,1,£40.00,£15.00,£4.17,£35.83,£20.83,58.14%
Cameras & Photography,Camera & Photo Accessories,Sony,,BBTXJRYOQFJ9S,Sony Alpha 6400 ILCE-6400 24.2MP + 16-50mm,1,£500.00,£250.00,£41.67,£458.33,£208.33,45.45%
Cameras & Photography,Camera & Photo Accessories,Sony,,BBWGBY1XVBGLI,Sony GP-VPT2BT Handgrip with Remote Control For Sony Camera,1,£55.00,£25.00,£5.00,£50.00,£25.00,50.00%
Cameras & Photography,Camera & Photo Accessories,Sony,,BBWGJJKBMNGE9,Sony GP-VPT2BT Handgrip with Remote Control For Sony Camera,1,£55.00,£25.00,£5.00,£50.00,£25.00,50.00%
Cameras & Photography,Camera & Photo Accessories,Sony,,BBWGDHTZXORZ6,Sony Alpha A7R II Body with charger & case & bag,1,£800.00,£445.00,£59.17,£740.83,£295.83,39.93%
Cameras & Photography,Camera & Photo Accessories,Sony,,BBWGRFEZJQGTX,velbon el carmange 540 tripod,1,£90.00,£20.00,£11.67,£78.33,£58.33,74.47%
Cameras & Photography,Digital Cameras,Canon,,BB1107ZWG2P7K,Vimtag 720 Smart Security Camera,2,£40.00,£50.00,£0.00,£40.00,-£10.00,-25.00%
Cameras & Photography,Digital Cameras,Canon,,BBWG34D3D323B,enko ab600-r electronic flashlight,1,£79.99,£30.00,£8.33,£71.66,£41.66,58.13%
Cameras & Photography,Digital Cameras,Canon,,BBWGE89A133FC,dx swm vr aspherical lens,1,£50.00,£20.00,£5.00,£45.00,£25.00,55.56%
Cameras & Photography,Digital Cameras,Canon,,BBWGCA6C934F0,"canon eos m50 mark 2 & with battery charger,",1,£549.99,£265.00,£47.50,£502.49,£237.49,47.26%
Cameras & Photography,Digital Cameras,Canon,,BBWGO0VHXMZA4,Canon digital camera - with bag,1,£49.99,£20.00,£5.00,£44.99,£24.99,55.55%
Cameras & Photography,Digital Cameras,Canon,,BBWGMMPQIJEQM,Canon EOS 700D 18M,1,£239.99,£50.00,£31.66,£208.33,£158.33,76.00%
Cameras & Photography,Digital Cameras,Canon,,BBWG9RAJSNZHH,Canon EF 50MM lens,1,£78.00,£50.00,£4.67,£73.33,£23.33,31.82%
Cameras & Photography,Digital Cameras,Canon,,BBWGZCIY2IPW9,Canon Powershot SX510 HS,1,£44.99,£20.00,£4.16,£40.82,£20.83,51.01%
Cameras & Photography,Digital Cameras,Canon,,BBWGA0VUBPDND,Canon PowerShot SX260,-1,-£44.99,-£20.00,-£4.16,-£40.82,-£20.83,51.01%
Cameras & Photography,Digital Cameras,Canon,,BBWGZLQQILND2,canon efs 18-55mm Lens,1,£29.99,£10.00,£3.33,£26.66,£16.66,62.49%
Cameras & Photography,Digital Cameras,Canon,,BBWGJVPISWL5R,Sigma 18-250mm Lens,1,£129.99,£70.00,£10.00,£119.99,£49.99,41.66%
Cameras & Photography,Digital Cameras,Canon,,BBWGXSUBUQVKK,Canon EOS 700D & 18-55mm lens w/charger,1,£279.99,£155.00,£20.83,£259.16,£104.16,40.19%
Cameras & Photography,Digital Cameras,Canon,,BBWGMWTCSDCYT,"Canon EOS 4000D + 18-55mm, A",1,£219.99,£100.00,£20.00,£199.99,£99.99,50.00%
