Category Level 1,Category Level 2,Category Level 3,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Jewellery & Watches,Pendant,,BBTXBB480086D,Religious Pendant,-1,-£11.99,-£2.50,-£1.58,-£10.41,-£7.91,75.98%
Jewellery & Watches,Pendant,,BBTXP7Y0QVPLO,9ct gold cross and chain pendent (375),1,£59.99,£30.00,£5.00,£54.99,£24.99,45.45%
Jewellery & Watches,Pendant,,BBTXYIKHICZWP,costume gold locket no hallmarks,1,£5.00,£2.00,£0.50,£4.50,£2.50,55.56%
Jewellery & Watches,Pendant,,BBTXTYVSZZVTB,Pendant,1,£99.99,£50.00,£8.33,£91.66,£41.66,45.45%
Jewellery & Watches,Pendant,,BBTXMNUQ1ZTPG,braclet charm,1,£59.99,£30.00,£5.00,£54.99,£24.99,45.45%
Jewellery & Watches,Pendant,,BBTXC6EPVEY8W,mix of 18 and 22 ct jewellery,1,£699.99,£480.00,£36.66,£663.32,£183.33,27.64%
Jewellery & Watches,Pendant,,BBTXHKJUEEF6H,Pendant 9ct 375,1,£29.99,£15.00,£2.50,£27.49,£12.49,45.44%
Jewellery & Watches,Pendant,,BBTXV6DU9CVEP,9ct gold cross pendant 3.60G,1,£109.99,£50.00,£10.00,£99.99,£49.99,50.00%
Jewellery & Watches,Pendant,,BBTXZPC8HOHM6,Silver Pendant and Chain,1,£129.99,£50.00,£13.33,£116.66,£66.66,57.14%
Jewellery & Watches,Pendant,,BBTXHO0OIGWDO,stoned pendents 9ct,2,£200.00,£100.00,£16.67,£183.33,£83.33,45.45%
Jewellery & Watches,Rings,Engagement Ring,BBTXC4C01C9BA,Engagement Ring,1,£99.99,£45.00,£9.16,£90.82,£45.82,50.45%
Jewellery & Watches,Rings,Engagement Ring,BBTX6T6WXZIW6,Engagement Ring,1,£49.99,£22.03,£4.66,£45.33,£23.30,51.40%
Jewellery & Watches,Rings,Engagement Ring,BBTX5E75A9C73,9ct White Gold Engagement Ring (2.78g),1,£69.99,£30.00,£6.66,£63.32,£33.32,52.63%
Jewellery & Watches,Rings,Engagement Ring,BBTXB51BA6D11,14k Ring with 5 white stones,1,£159.99,£100.00,£10.00,£149.99,£49.99,33.33%
Jewellery & Watches,Rings,Engagement Ring,BBTXE493A1B28,Engagement Ring 2.4G,1,£199.99,£100.00,£16.66,£183.33,£83.33,45.45%
Jewellery & Watches,Rings,Engagement Ring,BBTX654082B43,Engagement Ring 18ct white gold Hallmarked 0.53 diamond,3,"£1,049.97",£600.00,£75.00,£974.98,£374.98,38.46%
Jewellery & Watches,Rings,Engagement Ring,BBTX41A3239AE,Engagement Ring (375),1,£250.00,£100.00,£25.00,£225.00,£125.00,55.56%
Jewellery & Watches,Rings,Engagement Ring,BBTX34B97914D,white gold wedding ring (375),1,£99.99,£30.00,£11.66,£88.32,£58.32,66.03%
Jewellery & Watches,Rings,Engagement Ring,BBTX322F5353E,Engagement Ring (375),1,£199.99,£100.00,£16.66,£183.33,£83.33,45.45%
Jewellery & Watches,Rings,Engagement Ring,BBTX59BB9811B,Engagement Ring,1,£30.00,£30.00,£0.00,£30.00,£0.00,0.00%
Jewellery & Watches,Rings,Engagement Ring,BBTX2203273CD,Engagement Ring,1,£79.99,£40.00,£6.66,£73.32,£33.32,45.45%
